Retailer Name,Retailer ID,Invoice Date,Region,State,District,Product,Price per Unit (INR),Units Sold,Total Sales (INR),Operating Profit (INR),Sales Method
Urban Trend Place,35234,1/21/2019,South,Karnataka,Mysore,Sandals,2777,87,241599,52335.69311,Online
New Run Mart,72662,9/7/2023,West,Maharashtra,Nagpur,Sneakers,2672,85,227120,68017.05334,Offline
Great Journey Company,64864,5/10/2021,East,West Bengal,Darjeeling,Heels,1585,12,19020,1975.605437,Offline
Top Style Co,28078,10/6/2023,West,Maharashtra,Pune,Sneakers,3246,86,279156,81169.17393,Online
Top Trend Company,29981,4/28/2018,West,Maharashtra,Pune,Sandals,3341,69,230529,59909.25669,Online
Great Step Place,42978,7/10/2022,East,West Bengal,Howrah,Sneakers,3513,63,221319,59312.85085,Online
Top Path Place,92034,3/18/2018,West,Maharashtra,Nagpur,Formal Shoes,557,25,13925,3511.238875,Online
Top Fashion Mart,42268,5/26/2018,South,Karnataka,Hubli,Formal Shoes,2890,66,190740,49498.6165,Online
Reliable Run Co,30549,9/14/2020,East,West Bengal,Howrah,Sneakers,2536,1,2536,692.3260413,Online
Reliable Journey Store,89527,8/26/2021,West,Maharashtra,Mumbai,Formal Shoes,2476,41,101516,14461.49093,Offline
Exclusive Fashion Place,59844,9/14/2020,South,Tamil Nadu,Madurai,Sneakers,2820,47,132540,29879.17798,Online
Top Trend Hub,82785,2/1/2018,West,Maharashtra,Mumbai,Boots,3917,14,54838,10073.15216,Online
Quality Path Boutique,38392,4/29/2021,South,Tamil Nadu,Madurai,Sneakers,2697,25,67425,18863.80344,Offline
Prime Shoe Place,51233,5/27/2020,North,Punjab,Jalandhar,Heels,2721,86,234006,69367.60744,Online
New Run Place,24711,5/23/2019,South,Karnataka,Bengaluru,Sandals,3632,35,127120,24926.15741,Online
Urban Style Place,37451,2/4/2023,East,West Bengal,Howrah,Sneakers,2022,44,88968,18111.01945,Online
Exclusive Step Store,58842,12/16/2018,West,Maharashtra,Pune,Boots,929,80,74320,12970.62741,Online
Top Fashion Outlet,39127,11/2/2022,West,Maharashtra,Mumbai,Sneakers,4302,65,279630,70691.28458,Online
Reliable Shoe Company,33198,10/20/2023,East,West Bengal,Kolkata,Boots,957,94,89958,26214.59669,Online
Quality Trend Place,31372,1/11/2018,West,Maharashtra,Pune,Heels,4917,33,162261,24518.64872,Online
Fresh Fashion Hub,18797,6/18/2022,South,Tamil Nadu,Madurai,Boots,2262,43,97266,27509.09609,Online
Best Step Co,89317,10/18/2019,South,Karnataka,Bengaluru,Sandals,1828,99,180972,23363.89931,Offline
Best Journey Hub,98556,9/23/2022,East,West Bengal,Howrah,Heels,2361,46,108606,31264.82783,Online
Reliable Style Mart,20591,11/3/2019,South,Karnataka,Mysore,Formal Shoes,3873,89,344697,65733.40585,Online
Prime Fashion Outlet,76367,9/24/2023,West,Maharashtra,Pune,Heels,3761,41,154201,27203.03201,Online
Great Shoe Co,39528,5/4/2023,South,Tamil Nadu,Madurai,Heels,2357,66,155562,44759.74196,Offline
Urban Path Hub,32675,12/13/2021,East,West Bengal,Darjeeling,Formal Shoes,3216,93,299088,38685.562,Offline
Great Path Place,88434,7/3/2018,West,Maharashtra,Mumbai,Heels,1277,11,14047,2169.114238,Offline
Reliable Style Mart,20591,8/23/2023,South,Tamil Nadu,Chennai,Heels,2792,5,13960,2131.540882,Online
Urban Fashion Store,66946,11/30/2020,South,Karnataka,Hubli,Sneakers,1175,67,78725,8334.072109,Online
Great Fashion Mart,69107,12/13/2023,South,Karnataka,Mysore,Sneakers,4827,30,144810,29606.56091,Online
Quality Walk Outlet,22827,7/9/2020,South,Karnataka,Mysore,Sandals,4444,76,337744,52780.32912,Online
Reliable Fashion Mart,86336,1/28/2022,North,Punjab,Jalandhar,Sandals,1962,36,70632,16256.76185,Offline
Prime Step Company,17492,1/27/2020,West,Maharashtra,Pune,Heels,2993,5,14965,2810.536584,Online
New Walk Store,63327,4/27/2021,East,West Bengal,Kolkata,Heels,4993,4,19972,4570.243718,Online
Fresh Path Boutique,34092,10/8/2021,South,Tamil Nadu,Coimbatore,Sneakers,4278,20,85560,15436.80937,Offline
New Shoe Outlet,72342,12/1/2020,East,West Bengal,Darjeeling,Heels,839,14,11746,2064.745077,Offline
Top Path Place,92034,6/16/2019,East,West Bengal,Kolkata,Sandals,3107,27,83889,11036.06258,Offline
Great Trend Company,21890,12/11/2018,North,Punjab,Jalandhar,Heels,4669,49,228781,47283.24676,Online
Best Step Emporium,74025,8/3/2021,South,Tamil Nadu,Madurai,Sneakers,992,85,84320,15342.13322,Online
Fresh Footwear Boutique,66425,2/13/2019,North,Punjab,Ludhiana,Heels,3502,18,63036,10979.18882,Offline
Quality Shoe Place,38042,9/9/2020,East,West Bengal,Darjeeling,Boots,4791,58,277878,75759.90884,Online
Great Shoe Place,99115,3/9/2018,East,West Bengal,Howrah,Boots,4222,43,181546,28289.94111,Online
Great Footwear Company,40913,2/16/2020,North,Punjab,Ludhiana,Formal Shoes,3960,26,102960,30721.23542,Online
Prime Shoe Place,51233,4/30/2018,West,Maharashtra,Nagpur,Heels,2175,42,91350,9348.095431,Offline
Great Journey Hub,81645,9/27/2023,South,Tamil Nadu,Chennai,Heels,2092,57,119244,31322.8645,Online
Best Journey Hub,98556,6/15/2018,West,Maharashtra,Nagpur,Sneakers,4312,83,357896,43013.85365,Online
Great Path Place,88434,9/4/2018,South,Tamil Nadu,Chennai,Sandals,3533,25,88325,17032.51422,Online
Top Footwear Company,82005,3/31/2018,East,West Bengal,Howrah,Sandals,4948,1,4948,914.8686796,Online
Prime Step Company,17492,12/19/2018,West,Maharashtra,Mumbai,Sneakers,2798,16,44768,10545.27841,Online
Prime Run Hub,46837,8/1/2021,South,Tamil Nadu,Madurai,Boots,3324,28,93072,20780.17351,Offline
Top Fashion Mart,42268,4/26/2021,East,West Bengal,Darjeeling,Sandals,4274,59,252166,72926.78065,Online
Best Footwear Outlet,29709,9/11/2018,North,Punjab,Ludhiana,Sandals,3985,23,91655,14230.13529,Online
Best Shoe Place,18959,11/27/2022,North,Punjab,Ludhiana,Formal Shoes,3855,42,161910,20410.01276,Online
Exclusive Footwear Hub,46983,4/25/2019,South,Tamil Nadu,Madurai,Heels,3878,5,19390,2211.577887,Offline
Exclusive Journey Store,81968,10/5/2023,North,Punjab,Jalandhar,Boots,3272,81,265032,76278.85046,Online
Reliable Fashion Boutique,44304,9/6/2022,North,Punjab,Ludhiana,Heels,2011,71,142781,33548.58215,Online
Fresh Style Store,31353,3/3/2020,South,Karnataka,Bengaluru,Sandals,2104,99,208296,54117.57828,Offline
Great Style Boutique,36829,1/8/2019,North,Punjab,Ludhiana,Sneakers,4902,66,323532,56621.52435,Online
Reliable Fashion Boutique,44304,6/18/2023,West,Maharashtra,Mumbai,Formal Shoes,2207,45,99315,17591.26265,Offline
Quality Path Boutique,38392,7/4/2023,South,Tamil Nadu,Chennai,Formal Shoes,1296,86,111456,15805.77646,Offline
New Footwear Outlet,53960,3/26/2021,South,Tamil Nadu,Coimbatore,Sneakers,4925,22,108350,30021.77224,Offline
Fresh Shoe Company,92129,5/23/2023,South,Karnataka,Bengaluru,Boots,572,51,29172,5937.760202,Online
Quality Path Co,99670,9/1/2021,West,Maharashtra,Pune,Boots,4706,91,428246,92899.01988,Online
Top Fashion Outlet,39127,11/29/2018,South,Tamil Nadu,Madurai,Boots,4461,53,236433,40195.49034,Offline
Quality Style Hub,41615,10/11/2023,South,Tamil Nadu,Coimbatore,Sneakers,783,76,59508,6910.109689,Online
Exclusive Journey Store,81968,9/17/2019,West,Maharashtra,Mumbai,Sandals,3743,7,26201,7222.935654,Offline
Exclusive Run Mart,22489,10/30/2021,North,Punjab,Ludhiana,Boots,602,26,15652,1604.185082,Offline
Top Path Emporium,46367,9/16/2020,West,Maharashtra,Nagpur,Sandals,2483,67,166361,35427.87547,Offline
New Run Mart,72662,3/8/2020,North,Punjab,Amritsar,Boots,1905,88,167640,29876.69812,Offline
Prime Shoe Hub,48103,10/3/2021,West,Maharashtra,Mumbai,Formal Shoes,1648,76,125248,15153.2218,Offline
Prime Walk Boutique,83635,10/23/2019,East,West Bengal,Darjeeling,Heels,4754,16,76064,14950.72534,Offline
New Style Store,27780,1/23/2023,South,Karnataka,Hubli,Heels,2584,87,224808,33464.83237,Offline
Fresh Style Store,31353,9/23/2019,East,West Bengal,Howrah,Heels,609,38,23142,2631.317503,Online
Great Journey Place,84685,7/24/2019,North,Punjab,Amritsar,Sneakers,4735,17,80495,9620.68806,Online
Best Journey Hub,98556,4/28/2021,South,Karnataka,Mysore,Sandals,2135,5,10675,1968.967679,Online
Prime Run Co,20463,4/19/2022,East,West Bengal,Kolkata,Sandals,1036,74,76664,10168.22696,Online
Great Run Outlet,21965,2/10/2023,North,Punjab,Jalandhar,Heels,3174,44,139656,28202.06424,Offline
New Step Hub,12630,1/17/2018,East,West Bengal,Darjeeling,Sandals,4148,76,315248,85713.07062,Online
Prime Shoe Mart,78859,4/5/2021,East,West Bengal,Darjeeling,Formal Shoes,1063,17,18071,3083.577543,Online
Fresh Step Co,32221,8/21/2020,West,Maharashtra,Pune,Heels,1107,92,101844,22556.47286,Online
Best Step Co,89317,12/24/2023,South,Karnataka,Bengaluru,Formal Shoes,4586,62,284332,60189.91546,Online
Exclusive Fashion Company,17588,12/9/2022,East,West Bengal,Kolkata,Formal Shoes,3884,46,178664,20012.19933,Online
Top Path Place,92034,2/7/2023,North,Punjab,Amritsar,Sneakers,519,75,38925,11120.83508,Offline
Fresh Step Co,32221,1/24/2018,West,Maharashtra,Pune,Sneakers,916,34,31144,4836.311062,Offline
New Footwear Outlet,53960,6/6/2022,South,Karnataka,Mysore,Boots,1162,11,12782,1296.888935,Offline
Best Walk Emporium,60336,6/6/2023,South,Karnataka,Hubli,Sandals,946,5,4730,1141.614518,Online
Urban Journey Outlet,93467,5/1/2023,West,Maharashtra,Nagpur,Heels,3575,51,182325,42712.90481,Offline
Great Trend Emporium,93867,1/31/2023,West,Maharashtra,Pune,Boots,3791,45,170595,31827.56584,Online
Urban Path Mart,62341,10/19/2018,South,Karnataka,Hubli,Sneakers,1373,65,89245,17323.98329,Offline
Prime Run Company,29246,5/20/2021,East,West Bengal,Kolkata,Sneakers,4437,98,434826,51042.9494,Offline
Top Run Store,99097,2/10/2018,East,West Bengal,Howrah,Sneakers,4751,81,384831,66937.14053,Offline
Great Trend Emporium,93867,2/20/2018,North,Punjab,Ludhiana,Formal Shoes,4922,59,290398,61432.67017,Online
Top Fashion Outlet,39127,7/30/2018,South,Tamil Nadu,Chennai,Heels,3930,55,216150,52535.06486,Offline
Great Walk Mart,82118,5/4/2023,South,Tamil Nadu,Chennai,Boots,4738,28,132664,24998.68028,Online
New Step Outlet,56788,12/17/2018,South,Karnataka,Mysore,Heels,3591,86,308826,65679.27379,Online
Great Step Co,54022,3/20/2023,South,Tamil Nadu,Coimbatore,Sandals,611,67,40937,7364.091046,Online
New Run Boutique,77711,5/11/2018,West,Maharashtra,Pune,Formal Shoes,4138,79,326902,54574.6537,Online
Prime Run Hub,46837,6/14/2018,South,Tamil Nadu,Chennai,Boots,4529,18,81522,23129.23808,Online
Exclusive Fashion Hub,32618,7/14/2018,South,Karnataka,Hubli,Sandals,3823,76,290548,83978.05952,Online
Reliable Trend Store,73756,7/31/2021,South,Tamil Nadu,Coimbatore,Formal Shoes,3753,60,225180,28339.02144,Online
Exclusive Footwear Boutique,22382,8/5/2022,South,Karnataka,Bengaluru,Boots,2899,69,200031,32267.10317,Online
Exclusive Fashion Place,59844,11/28/2020,South,Karnataka,Mysore,Sandals,1416,4,5664,947.2238991,Online
Exclusive Run Mart,22489,12/5/2020,West,Maharashtra,Nagpur,Boots,4469,65,290485,39669.37238,Offline
Exclusive Run Co,48480,9/12/2023,West,Maharashtra,Pune,Boots,1299,33,42867,11827.56757,Offline
Great Journey Outlet,64642,2/28/2023,East,West Bengal,Darjeeling,Sandals,3646,3,10938,1555.300254,Online
Reliable Shoe Company,33198,1/21/2018,East,West Bengal,Howrah,Boots,3856,61,235216,37767.30081,Offline
Exclusive Fashion Hub,32618,3/27/2019,East,West Bengal,Darjeeling,Sandals,3368,11,37048,6709.529839,Online
New Step Hub,12630,12/10/2020,West,Maharashtra,Nagpur,Sandals,609,61,37149,7479.550132,Online
Fresh Style Store,31353,10/2/2019,North,Punjab,Amritsar,Sneakers,4289,63,270207,33567.58398,Offline
Prime Step Store,95425,9/18/2020,South,Karnataka,Mysore,Formal Shoes,1349,96,129504,16762.38693,Offline
Top Footwear Place,80001,5/11/2021,South,Karnataka,Mysore,Boots,3135,94,294690,57969.94735,Offline
Fresh Footwear Store,20598,4/13/2018,South,Tamil Nadu,Chennai,Sneakers,4645,75,348375,41773.5642,Offline
Urban Step Mart,19093,7/28/2022,South,Karnataka,Mysore,Formal Shoes,3515,91,319865,48049.06802,Offline
Great Journey Store,15415,6/18/2020,North,Punjab,Ludhiana,Heels,2416,73,176368,51489.8637,Online
Quality Run Hub,34784,7/6/2020,South,Tamil Nadu,Chennai,Sneakers,1421,79,112259,24434.49338,Online
Exclusive Fashion Hub,32618,8/27/2019,West,Maharashtra,Mumbai,Sandals,3020,7,21140,2501.23998,Offline
Fresh Step Emporium,75859,1/8/2020,South,Tamil Nadu,Madurai,Boots,3477,11,38247,8516.310952,Online
Prime Run Emporium,14287,11/24/2022,South,Karnataka,Mysore,Sandals,2007,45,90315,24249.35814,Online
Exclusive Fashion Place,59844,6/16/2020,East,West Bengal,Darjeeling,Formal Shoes,2345,35,82075,14625.12606,Online
Exclusive Fashion Company,17588,11/4/2021,West,Maharashtra,Mumbai,Sandals,4689,21,98469,19679.63739,Offline
Best Walk Hub,25862,12/9/2022,South,Karnataka,Hubli,Sandals,629,16,10064,1839.780037,Online
Exclusive Run Mart,22489,2/20/2018,South,Karnataka,Mysore,Formal Shoes,3029,85,257465,50412.83113,Offline
Best Fashion Boutique,78261,12/22/2023,South,Tamil Nadu,Coimbatore,Sandals,3787,1,3787,613.6604901,Offline
Prime Style Outlet,93978,10/20/2019,East,West Bengal,Howrah,Sneakers,2658,42,111636,30451.21901,Online
Great Fashion Emporium,56499,10/28/2021,North,Punjab,Jalandhar,Boots,1226,34,41684,9650.261382,Offline
Quality Trend Co,68801,2/13/2018,South,Tamil Nadu,Chennai,Sneakers,3707,42,155694,40745.86756,Online
Top Style Co,28078,10/26/2018,East,West Bengal,Darjeeling,Sneakers,2122,18,38196,10089.35097,Offline
Prime Shoe Hub,48103,6/12/2021,South,Tamil Nadu,Coimbatore,Sneakers,4493,9,40437,6644.46633,Offline
Great Path Outlet,68821,10/8/2020,East,West Bengal,Howrah,Heels,3942,38,149796,44795.86243,Offline
Best Walk Hub,25862,3/11/2022,South,Karnataka,Bengaluru,Sandals,2763,6,16578,1768.703618,Online
Urban Shoe Place,48908,8/18/2020,West,Maharashtra,Mumbai,Heels,1103,95,104785,25922.74731,Online
Great Path Outlet,68821,4/5/2019,South,Tamil Nadu,Madurai,Sneakers,2641,58,153178,45295.91448,Offline
Top Footwear Company,82005,5/30/2021,South,Tamil Nadu,Madurai,Formal Shoes,1184,43,50912,6562.109147,Online
Great Style Boutique,36829,3/8/2023,South,Tamil Nadu,Chennai,Heels,1806,40,72240,15345.29586,Offline
Top Style Co,28078,5/19/2019,West,Maharashtra,Pune,Heels,777,48,37296,8151.631355,Online
Urban Trend Place,35234,9/24/2018,East,West Bengal,Howrah,Heels,4618,7,32326,3712.942337,Offline
Exclusive Run Mart,22489,2/7/2020,East,West Bengal,Kolkata,Formal Shoes,3004,62,186248,18975.9575,Offline
Best Journey Hub,98556,7/29/2019,South,Karnataka,Hubli,Sandals,1091,47,51277,14984.07162,Online
Quality Walk Store,22162,4/30/2022,South,Karnataka,Bengaluru,Boots,1702,85,144670,32816.67039,Offline
Great Trend Company,21890,5/12/2022,South,Karnataka,Hubli,Formal Shoes,2913,88,256344,30029.88741,Online
Quality Walk Emporium,54015,7/5/2020,North,Punjab,Amritsar,Sandals,974,79,76946,16222.29771,Online
Reliable Run Place,38827,3/6/2020,North,Punjab,Amritsar,Sneakers,1424,37,52688,8768.887214,Online
Reliable Journey Store,89527,5/5/2020,West,Maharashtra,Nagpur,Formal Shoes,1626,57,92682,24067.11446,Offline
Urban Shoe Place,48908,1/21/2018,East,West Bengal,Howrah,Sneakers,4959,32,158688,38397.09572,Offline
Exclusive Walk Company,80530,10/13/2020,West,Maharashtra,Mumbai,Sandals,3128,43,134504,34228.15378,Offline
Best Journey Boutique,77242,5/9/2018,East,West Bengal,Darjeeling,Sandals,2910,43,125130,35497.98071,Online
Top Footwear Hub,65756,9/21/2022,South,Tamil Nadu,Coimbatore,Sandals,1918,59,113162,28030.99942,Offline
Urban Step Mart,19093,7/17/2022,East,West Bengal,Howrah,Sandals,837,62,51894,10040.44477,Offline
Urban Path Mart,62341,6/26/2020,North,Punjab,Ludhiana,Boots,3557,58,206306,44810.86184,Offline
Quality Step Company,69462,2/9/2023,East,West Bengal,Darjeeling,Sneakers,4864,56,272384,52100.65885,Online
Prime Style Hub,66818,11/29/2022,South,Karnataka,Mysore,Sneakers,1560,14,21840,6538.656489,Offline
Top Footwear Place,80001,5/20/2020,South,Tamil Nadu,Madurai,Formal Shoes,3914,84,328776,82722.00526,Online
Great Trend Company,21890,5/14/2023,West,Maharashtra,Nagpur,Formal Shoes,3828,38,145464,15352.58718,Offline
Great Shoe Store,94952,5/3/2021,North,Punjab,Amritsar,Boots,1382,77,106414,25021.39786,Offline
Reliable Shoe Company,33198,11/7/2023,South,Tamil Nadu,Chennai,Formal Shoes,935,3,2805,438.2728581,Offline
New Footwear Outlet,53960,3/25/2022,West,Maharashtra,Mumbai,Sandals,2063,98,202174,51385.72222,Online
Quality Footwear Emporium,84613,10/25/2018,North,Punjab,Jalandhar,Sandals,2816,52,146432,21690.88298,Offline
Best Step Co,89317,4/25/2023,West,Maharashtra,Mumbai,Heels,2534,13,32942,6199.709553,Online
Fresh Style Store,31353,3/22/2018,North,Punjab,Amritsar,Sandals,3289,20,65780,19143.00742,Online
Prime Footwear Place,21941,8/6/2022,South,Tamil Nadu,Coimbatore,Heels,1083,25,27075,6420.911474,Online
Quality Journey Hub,81928,1/25/2021,South,Tamil Nadu,Chennai,Heels,2531,34,86054,20120.35314,Offline
Exclusive Step Company,80745,4/7/2019,East,West Bengal,Kolkata,Formal Shoes,4920,55,270600,32705.27743,Online
Urban Style Company,36146,6/5/2018,North,Punjab,Ludhiana,Heels,4782,65,310830,87093.78585,Online
New Journey Outlet,40578,7/12/2022,South,Tamil Nadu,Coimbatore,Boots,1234,18,22212,4201.928188,Offline
Fresh Journey Place,36243,10/20/2019,West,Maharashtra,Mumbai,Sneakers,2720,24,65280,12404.84239,Online
Quality Step Company,69462,5/12/2018,North,Punjab,Amritsar,Sneakers,3262,37,120694,34143.26937,Online
Reliable Journey Store,89527,1/4/2022,East,West Bengal,Darjeeling,Formal Shoes,3314,58,192212,39286.37504,Online
New Step Hub,12630,5/25/2023,West,Maharashtra,Mumbai,Formal Shoes,927,43,39861,6161.999416,Online
Reliable Run Place,38827,1/22/2018,North,Punjab,Ludhiana,Sneakers,4526,29,131254,14874.71085,Offline
Quality Style Boutique,16925,6/4/2022,East,West Bengal,Kolkata,Sneakers,3543,51,180693,27553.40227,Offline
Urban Fashion Emporium,94689,10/13/2019,West,Maharashtra,Pune,Heels,3793,94,356542,44957.54133,Online
Exclusive Footwear Hub,46983,3/23/2022,North,Punjab,Jalandhar,Heels,829,33,27357,8076.297389,Online
Top Footwear Company,82005,2/5/2019,South,Tamil Nadu,Coimbatore,Sandals,1048,88,92224,10216.78614,Offline
Urban Fashion Co,27359,12/23/2018,South,Karnataka,Mysore,Sandals,4885,8,39080,9240.182827,Offline
Urban Walk Mart,78618,1/20/2018,North,Punjab,Ludhiana,Boots,2103,71,149313,22930.86014,Online
Reliable Journey Store,89527,10/17/2022,South,Karnataka,Hubli,Boots,1804,87,156948,23169.91124,Offline
New Journey Outlet,40578,1/23/2018,East,West Bengal,Howrah,Heels,833,86,71638,14414.27068,Online
Exclusive Shoe Place,46628,9/16/2020,West,Maharashtra,Pune,Heels,1926,34,65484,10317.85145,Online
Reliable Step Place,20641,5/31/2018,South,Karnataka,Mysore,Sandals,3350,82,274700,34323.33689,Online
New Walk Store,63327,10/12/2020,East,West Bengal,Darjeeling,Boots,3299,27,89073,15712.96833,Online
Best Fashion Boutique,78261,6/26/2022,South,Karnataka,Mysore,Boots,4431,72,319032,91393.20497,Online
Great Path Hub,98938,11/16/2018,West,Maharashtra,Pune,Formal Shoes,3582,35,125370,30861.09457,Offline
Great Shoe Boutique,54977,10/27/2020,North,Punjab,Ludhiana,Boots,1178,79,93062,24852.92839,Online
Exclusive Step Store,58842,11/19/2021,South,Tamil Nadu,Coimbatore,Sneakers,4667,84,392028,50779.82009,Offline
Fresh Path Boutique,34092,3/10/2023,South,Tamil Nadu,Chennai,Boots,684,52,35568,5701.589796,Online
Reliable Shoe Place,73287,7/9/2020,South,Tamil Nadu,Coimbatore,Heels,1175,71,83425,16035.32612,Online
Quality Footwear Emporium,84613,11/8/2018,North,Punjab,Ludhiana,Heels,2098,15,31470,7345.231886,Online
Top Journey Mart,54005,6/22/2019,East,West Bengal,Kolkata,Heels,4362,96,418752,46392.193,Online
New Run Place,24711,7/11/2021,South,Karnataka,Bengaluru,Boots,4562,53,241786,41043.65129,Online
Urban Trend Outlet,68365,6/27/2022,West,Maharashtra,Mumbai,Sandals,2119,70,148330,31379.66926,Offline
Great Shoe Co,39528,10/17/2022,East,West Bengal,Darjeeling,Boots,4905,88,431640,122657.433,Offline
Top Fashion Mart,42268,8/31/2020,West,Maharashtra,Pune,Sandals,4183,15,62745,15852.11562,Offline
Great Step Co,54022,8/15/2020,South,Tamil Nadu,Coimbatore,Sandals,1486,57,84702,12926.96688,Online
Best Journey Hub,98556,2/23/2022,East,West Bengal,Kolkata,Boots,4539,61,276879,54134.13328,Offline
Great Trend Outlet,55090,3/21/2021,East,West Bengal,Kolkata,Formal Shoes,2554,1,2554,765.196286,Offline
Reliable Path Store,58471,12/8/2019,South,Karnataka,Bengaluru,Sneakers,4216,9,37944,4056.006577,Offline
Prime Style Outlet,93978,7/12/2022,North,Punjab,Jalandhar,Heels,4508,64,288512,79217.07567,Offline
Reliable Trend Store,73756,11/30/2021,South,Tamil Nadu,Coimbatore,Sandals,2859,36,102924,10324.56022,Online
Top Footwear Hub,65756,8/6/2021,South,Karnataka,Hubli,Boots,1520,5,7600,2222.048643,Offline
Quality Journey Mart,98714,3/3/2019,West,Maharashtra,Nagpur,Heels,1381,11,15191,3794.748005,Offline
Best Journey Hub,98556,6/1/2019,East,West Bengal,Kolkata,Sandals,1303,21,27363,4838.287734,Offline
Top Footwear Company,82005,8/6/2018,South,Tamil Nadu,Coimbatore,Boots,4560,45,205200,25370.3523,Online
Top Journey Mart,54005,7/17/2018,South,Karnataka,Bengaluru,Boots,4669,28,130732,23563.22129,Offline
Urban Walk Mart,78618,5/24/2019,East,West Bengal,Kolkata,Heels,3253,99,322047,65314.53658,Online
Great Fashion Co,29437,4/9/2021,North,Punjab,Amritsar,Heels,1738,90,156420,27962.87136,Online
Great Trend Company,21890,5/31/2018,North,Punjab,Ludhiana,Formal Shoes,2121,21,44541,10727.94687,Online
Top Trend Hub,82785,1/28/2019,West,Maharashtra,Mumbai,Sandals,4422,71,313962,40195.02406,Online
New Style Store,27780,8/5/2020,West,Maharashtra,Nagpur,Boots,1829,87,159123,44981.05669,Offline
Quality Trend Co,68801,3/30/2020,South,Tamil Nadu,Madurai,Boots,4876,24,117024,15902.99265,Offline
Quality Step Store,63926,2/23/2022,West,Maharashtra,Nagpur,Heels,2960,31,91760,19186.6877,Offline
Best Fashion Co,77338,6/27/2021,South,Karnataka,Bengaluru,Sneakers,765,26,19890,2450.961871,Online
Urban Walk Mart,78618,1/27/2022,West,Maharashtra,Pune,Formal Shoes,2743,90,246870,48865.48485,Online
Exclusive Run Mart,22489,1/30/2021,West,Maharashtra,Mumbai,Formal Shoes,1397,9,12573,2933.542867,Offline
Top Footwear Hub,65756,10/22/2018,East,West Bengal,Kolkata,Formal Shoes,761,25,19025,5203.71009,Offline
Urban Fashion Emporium,94689,4/6/2019,North,Punjab,Ludhiana,Formal Shoes,4978,23,114494,14234.00478,Offline
Top Run Store,99097,7/5/2020,West,Maharashtra,Mumbai,Sneakers,1505,87,130935,19339.3085,Offline
Great Walk Mart,82118,5/31/2023,North,Punjab,Amritsar,Boots,1791,69,123579,12464.77949,Online
Best Walk Emporium,60336,7/4/2018,South,Tamil Nadu,Coimbatore,Boots,4389,17,74613,12044.68466,Online
Best Shoe Outlet,21625,3/7/2018,South,Karnataka,Bengaluru,Sandals,3566,3,10698,2468.057078,Offline
Quality Style Hub,41615,8/4/2021,South,Karnataka,Mysore,Heels,1026,28,28728,7399.961742,Online
Prime Shoe Company,19149,9/29/2023,South,Tamil Nadu,Madurai,Heels,1622,27,43794,5917.176082,Online
Urban Style Company,36146,5/23/2021,East,West Bengal,Kolkata,Sneakers,846,95,80370,24088.0598,Online
Fresh Fashion Hub,18797,6/7/2021,North,Punjab,Jalandhar,Heels,3502,11,38522,8734.528009,Online
Great Step Co,54022,6/11/2022,South,Karnataka,Mysore,Boots,944,49,46256,9719.690648,Online
Fresh Path Co,14643,7/19/2019,South,Karnataka,Bengaluru,Sneakers,4794,75,359550,58289.04021,Offline
Prime Trend Co,28439,4/14/2018,South,Tamil Nadu,Madurai,Heels,2953,20,59060,9331.392105,Online
Exclusive Fashion Place,59844,12/19/2023,East,West Bengal,Howrah,Heels,4479,52,232908,37435.62881,Online
Reliable Trend Outlet,49326,12/27/2019,East,West Bengal,Darjeeling,Boots,1089,9,9801,2120.499058,Online
Top Fashion Outlet,39127,7/1/2020,West,Maharashtra,Nagpur,Sneakers,2759,7,19313,4418.825185,Offline
Fresh Fashion Hub,18797,6/13/2018,South,Karnataka,Mysore,Boots,1668,86,143448,32947.09295,Offline
Urban Walk Place,23524,11/21/2023,South,Tamil Nadu,Coimbatore,Heels,2448,7,17136,2976.398451,Online
Prime Shoe Hub,48103,1/4/2018,South,Tamil Nadu,Chennai,Heels,1454,33,47982,7175.402415,Offline
Reliable Journey Emporium,27590,3/7/2018,South,Karnataka,Hubli,Sneakers,1682,81,136242,34809.63464,Offline
Top Fashion Mart,42268,9/19/2023,South,Tamil Nadu,Madurai,Formal Shoes,4129,57,235353,55718.64817,Offline
Best Journey Hub,98556,10/28/2023,South,Tamil Nadu,Chennai,Sneakers,846,14,11844,3363.926858,Offline
Prime Shoe Mart,78859,5/30/2023,West,Maharashtra,Nagpur,Sandals,2720,37,100640,14339.15339,Online
Best Fashion Emporium,82971,1/11/2018,South,Tamil Nadu,Coimbatore,Heels,1664,48,79872,14886.16239,Offline
New Run Place,24711,3/29/2023,South,Karnataka,Hubli,Heels,4470,2,8940,1058.46977,Online
Great Journey Place,84685,3/21/2020,West,Maharashtra,Mumbai,Boots,3904,63,245952,45921.31869,Offline
Quality Walk Hub,34891,4/3/2023,East,West Bengal,Darjeeling,Sneakers,847,67,56749,10341.05737,Online
Top Footwear Hub,65756,7/26/2019,South,Karnataka,Mysore,Heels,3825,31,118575,26316.98673,Online
Quality Journey Emporium,33351,4/14/2020,South,Tamil Nadu,Coimbatore,Boots,3191,88,280808,42789.64568,Offline
Urban Step Mart,19093,3/11/2020,North,Punjab,Jalandhar,Sneakers,1064,4,4256,840.1107735,Offline
Exclusive Fashion Company,17588,2/8/2018,South,Karnataka,Mysore,Sneakers,4092,62,253704,70920.39548,Online
